Title,Salutation,Surname,First Name,Other Name,Preferred Name,Initials,Post Nominals,State,Political Party,Gender,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Titles
Senator,Senator,Allman-Payne,Penny,Jane,Penny,P.J.,,QLD,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Ananda-Rajah,Michelle,,Michelle,M.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Antic,Alexander,,Alex,A.,,SA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Askew,Wendy,,Wendy,W.,,TAS,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Opposition Whip in the Senate
Senator the Hon,Senator,Ayres,Timothy,,Tim,T.,,NSW,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Industry and Innovation; Minister for Science
Senator,Senator,Babet,Ralph,Didier,Ralph,R.D.,,VIC,UAP,Male,"The Senate, Parliament House",Canberra,ACT,2600,United Australia Party Whip
Senator,Senator,Blyth,Leah,,Leah,L.,,SA,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Opposition Whip in the Senate
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,,NSW,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Brockman,William,Edward,Slade,W.E.S.,,WA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Deputy President and Chair of Committees
Senator the Hon,Senator,Brown,Carol,Louise,Carol,C.L.,,TAS,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Cadell,Ross,Philip,Ross,R.P.,,NSW,NATS,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,,QLD,NATS,Male,"The Senate, Parliament House",Canberra,ACT,2600,Nationals Whip in the Senate
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,,WA,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of the Opposition in the Senate
Senator,Senator,Chandler,Claire,,Claire,C.,,TAS,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Chisholm,Anthony,David,Anthony,A.D.,,QLD,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,"Assistant Minister for Regional Development; Assistant Minister for Agriculture, Fisheries and Forestry; Assistant Minister for Resources (Deputy Manager of Government Business in the Senate)"
Senator,Senator,Ciccone,Raffaele,,Raff,R.,,VIC,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Colbeck,Richard,Mansell,Richard,R.M.,,TAS,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Collins,Jessica,,Jessica,J.,,NSW,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Opposition Whip in the Senate
Senator,Senator,Cox,Dorinda,,Dorinda,D.,,WA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Darmanin,Lisa,,Lisa,L.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Government Whip in the Senate
Senator,Senator,Dolega,Josh,,Josh,J.,,TAS,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Dowling,Richard,,Richard,R.,,TAS,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,,TAS,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Manager of Opposition Business in the Senate
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D.E.,,SA,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Trade and Tourism; Special Minister of State (Deputy Leader of the Government in the Senate)
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,,NSW,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Leader of the Australian Greens
Senator the Hon,Senator,Gallagher,Katherine,Ruth,Katy,K.,,ACT,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for the Public Service; Minister for Finance; Minister for Women; Minister for Government Services (Vice-President of the Executive Council and Manager of Government Business in the Senate)
Senator,Senator,Ghosh,Varun,,Varun,V.,,WA,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Green,Nita,Louise,Nita,N.L.,,QLD,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Assistant Minister for Tourism; Assistant Minister for Pacific Island Affairs; Assistant Minister for Northern Australia
Senator,Senator,Grogan,Karen,Ann,Karen,K.A.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Government Whip in the Senate
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,,QLD,PHON,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of Pauline Hanson’s One Nation and Pauline Hanson’s One Nation Whip
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,,SA,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,Manager of Australian Greens Business in the Senate
Senator the Hon,Senator,Henderson,Sarah,Moya,Sarah,S.M.,,VIC,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Hodgins-May,Steph,,Steph,S.,,VIC,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Hume,Jane,,Jane,J.,,VIC,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Kovacic,Maria,,Maria,M.,,NSW,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,,TAS,JLN,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Liddle,Kerrynne,Jeanette,Kerrynne,K.J.,,SA,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Lines,Susan,,Sue,S.,,WA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,President of the Senate
Senator the Hon,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,,NSW,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for the National Disability Insurance Scheme
Senator the Hon,Senator,McCarthy,Malarndirri,,,M.,,NT,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Indigenous Australians
Senator,Senator,McDonald,Susan,Eileen,Susan,S.E.,,QLD,LNP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Leader of the Nationals in the Senate
Senator the Hon,Senator,McGrath,James,Anthony,James,J.A.,,QLD,LNP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Manager of Opposition Business in the Senate
Senator the Hon,Senator,McKenzie,Bridget,Grace,Bridget,B.G.,,VIC,NATS,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of the Nationals in the Senate
Senator,Senator,McKim,Nicholas,James,Nick,N.J.,,TAS,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,Australian Greens Whip
Senator,Senator,McLachlan,Andrew,Lockhart,Andrew,A.L.,CSC,SA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Mulholland,Corinne,,Corinne,C.,,QLD,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Nampijinpa Price,Jacinta,Suzette,Jacinta,J.S.,,NT,CLP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,O'Neill,Deborah,Mary,Deborah,D.M.,,NSW,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,O'Sullivan,Matthew,Anthony,Matt,M.A.,,WA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Paterson,James,William,James,J.,,VIC,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Payman,Fatima,,Fatima,F.,,WA,AV,Female,"The Senate, Parliament House",Canberra,ACT,2600,Australia's Voice Whip
Senator,Senator,Pocock,Barbara,,Barbara,B.,,SA,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Pocock,David,Willmer,David,D.W.,,ACT,IND,Male,"The Senate, Parliament House",Canberra,ACT,2600,Independent ACT Whip
Senator,Senator,Polley,Helen,,Helen,H.,,TAS,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Roberts,Malcolm,Ieuan,Malcolm,M.I.,,QLD,PHON,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Ruston,Anne,,Anne,A.,,SA,LP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Deputy Leader of the Opposition in the Senate
Senator,Senator,Scarr,Paul,Martin,Paul,P.M.,,QLD,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sharma,Devanand,Noel,Dave,D.N.,,NSW,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sheldon,Anthony,Vincent,Tony,A.V.,,NSW,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Chief Government Whip in the Senate
Senator,Senator,Shoebridge,David,Martin,David,D.M.,,NSW,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Smith,Dean,Anthony,Dean,D. A.,,WA,LP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Smith,Marielle,Feuerherdt,Marielle,M.F.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Steele-John,Jordon,Alexander,Jordon,J.A.,,WA,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Sterle,Glenn,,Glenn,G.,,WA,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Stewart,Jana,Naretha Anne,Jana,J.N.A.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Thorpe,Lidia,Alma,Lidia,L.A.,,VIC,IND,Female,"The Senate, Parliament House",Canberra,ACT,2600,Independent VIC Whip
Senator,Senator,Tyrrell,Tammy,Marie,Tammy,T.M.,,TAS,IND,Female,"The Senate, Parliament House",Canberra,ACT,2600,Independent TAS Whip
Senator,Senator,Walker,Charlotte,,Charlotte,C.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Walsh,Jess,Cecille,Jess,J.C.,,VIC,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Early Childhood Education; Minister for Youth
Senator,Senator,Waters,Larissa,Joy,Larissa,L. J.,,QLD,AG,Female,"The Senate, Parliament House",Canberra,ACT,2600,Leader of the Australian Greens
Senator the Hon,Senator,Watt,Murray,Patrick,Murray,M.P.,,QLD,ALP,Male,"The Senate, Parliament House",Canberra,ACT,2600,Minister for the Environment and Water
Senator,Senator,Whish-Wilson,Peter,Stuart,Peter,P.S.,,TAS,AG,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Whiteaker,Ellie,,Ellie,E.,,WA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,
Senator,Senator,Whitten,Tyron,,Tyron,T.,,WA,PHON,Male,"The Senate, Parliament House",Canberra,ACT,2600,
Senator the Hon,Senator,Wong,Penny,,Penny,P.,,SA,ALP,Female,"The Senate, Parliament House",Canberra,ACT,2600,Minister for Foreign Affairs (Leader of the Government in the Senate)
